slug,title,id,volume,closed,archived,has_context,context_len,context_updated_at,context_requires_regen,context_description,linkup_annotations,scrape_error
world-cup-winner,World Cup Winner ,30615,4327988659.658008,True,False,True,870,2026-06-18T02:31:38.972Z,True,"France leads the 2026 FIFA World Cup winner market at 18.4% implied probability after opening with a 3-1 victory over Senegal featuring multiple goals from Kylian Mbappé, while Spain sits at 13.8% following a surprising 0-0 draw against Cape Verde that tempered expectations from its Euro 2024-winning squad. England (12.8%) and defending champion Argentina (11.6%) remain tightly clustered behind them after strong early results, including England’s 4-2 win over Croatia and Argentina’s emphatic performances. The bunched pricing among the top five reflects the expanded 48-team format, comparable squad depth and star power across elite European sides, and limited separation in group-stage results so far. Portugal, Brazil, and Germany trail but stay within striking distance as traders weigh recent form, injuries, and knockout-stage matchups that remain weeks away.",0,
presidential-election-winner-2024,Presidential Election Winner 2024,903193,3686335059.295466,True,False,False,0,,True,,0,
nba-champion-2024-2025,NBA Champion,12815,1712132663.9616048,True,False,False,0,,True,,0,
democratic-presidential-nominee-2028,Democratic Presidential Nominee 2028,30829,1250937724.2515612,False,False,True,884,2026-08-03T16:01:24.402Z,False,"Gavin Newsom leads early 2028 Democratic presidential nominee trading at 19.1 percent amid ongoing party rebuilding after the prior cycle, with trader consensus reflecting his high visibility as California governor through budget actions and national addresses critical of the current administration. Alexandria Ocasio-Cortez and Jon Ossoff follow closely at 14.6 percent each, supported by their respective progressive national profile and Senate role in a battleground state. The field remains fragmented, with Kamala Harris at 8.6 percent and others below 6 percent, as no dominant frontrunner has emerged this far from primaries. Key variables include future primary polling trends, Senate and gubernatorial performance, potential endorsements, and any shifts in voter priorities on economic or cultural issues that could consolidate support among the diverse group of contenders.",880,
superbowl-champion-2025,Super Bowl Champion 2025,11439,1152274393.340837,True,False,False,0,,True,,0,
champions-league-winner-2025,Champions League Winner,12585,1001676674.3009881,True,False,False,0,,True,,0,
premier-league-winner-24-25,Premier League Winner,12483,808665619.1210588,True,False,False,0,,,,0,
super-bowl-champion-2026-731,Big Game Champion 2026,23656,704096822.722044,True,False,False,0,,,,0,
republican-presidential-nominee-2028,Republican Presidential Nominee 2028,31875,684276201.38381,False,False,True,679,2026-08-03T16:01:22.315Z,False,"The tight contest between Robert F. Kennedy Jr. at 49% and J.D. Vance at 46% reflects their elevated profiles as HHS secretary and vice president, respectively, within the Republican field. Kennedy's national ""Take Back Your Health"" events and policy platform have sustained trader interest despite his public statements against a 2028 bid, while Vance's post-midterm decision timeline and Trump alliance keep his positioning competitive. Marco Rubio's 27.8% share tracks his cabinet or Senate role and donor signals. The balance could shift with 2026 midterm results, formal announcements, or primary endorsements that clarify paths through early caucuses and state conventions.",701,
presidential-election-winner-2028,Presidential Election Winner 2028,31552,676420112.657496,False,False,True,920,2026-08-03T15:31:07.362Z,False,"The open 2028 presidential field remains tightly contested among early contenders because no candidate has yet consolidated broad party support or demonstrated clear dominance in national surveys. JD Vance leads Republican positioning through his role as vice president and alignment with the current administration's priorities, while Marco Rubio and others compete on foreign policy and Senate experience. On the Democratic side, Gavin Newsom, Jon Ossoff, and Alexandria Ocasio-Cortez draw from different regional and ideological bases, preventing any single frontrunner from emerging. Trader consensus reflects this fragmentation, with probabilities under 25 percent for the top names. Key upcoming catalysts include the 2026 midterm results, which will shape party momentum, potential primary debates, and any shifts in endorsements or polling averages that could widen gaps before formal nomination processes begin.",940,
