market_slug,market_title,annotation_timestamp,annotation_title,claimed_source,url,actual_domain,issue_type,http_status
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-07-11 12:00:00+00,Democrats lead in new national poll ahead of 2026 midterms,NPR,https://www.npr.org/2025/11/19/nx-s1-5611088/poll-democrats-republicans-trump-approval-inflation,npr.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-07-18 12:00:00+00,Supreme Court ruling weakens Voting Rights Act protections,AP News,https://apnews.com/article/supreme-court-voting-rights-2026-midterms,apnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-07-18 12:00:00+00,Graham Platner faces sexual assault allegations and considers withdrawing from Senate race,The New York Times,https://www.nytimes.com/news-event/2026-midterm-elections,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-07-20 12:00:00+00,Sherrod Brown announces reelection bid for Ohio Senate seat,NPR,https://www.npr.org/2026/05/02/nx-s1-5806271/2026-midterm-elections-control-senate-race,npr.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-08-03 12:00:00+00,Fox News adopts AP VoteCast for midterm election reporting,Fox News,https://www.foxnews.com/politics/2025/08/03/fox-adopts-ap-votecast,foxnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-08-03 12:00:00+00,Democrats maintain advantage in early 2026 generic congressional ballot polls,The New York Times,https://www.nytimes.com/interactive/polls/congressional-vote-2026.html,nytimes.com,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-08-04 12:00:00+00,"AP, Fox to use unified Voterâ¯Poll by SSRS for 2026 midterms",ABC News,https://abcnews.go.com/Politics/2026-midterm-poll-unified,abcnews.go.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-08-06 12:00:00+00,Senate Special Committee on Congressional Redistricting meets in Texas amid redistricting battles,ABC News,https://abcnews.com/Politics/6-political-stories-watch-2026-midterms-maps/story?id=128784610,abcnews.com,wrong outlet,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-08-06 12:00:00+00,Texas redistricting committee hears testimony on new congressional map,ABC News,https://abcnews.com/Politics/6-political-stories-watch-2026-midterms-maps/story?id=128784610,abcnews.com,wrong outlet,200
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-08-06 12:00:00+00,Texas congressional map ordered to be redrawn for 2026 elections,Associated Press,https://apnews.com/article/texas-redistricting-2026-midterms,apnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-08-25 12:00:00+00,Judge orders Utah congressional map redrawn for 2026 elections,Associated Press,https://apnews.com/article/utah-congressional-map-redraw-2026,apnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-09-01 12:00:00+00,Voter Poll by SSRS becomes common yardstick for all major outlets,PBS NewsHour,https://www.pbs.org/newshour/politics/ssrs-voter-poll-2025,pbs.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-09-05 12:00:00+00,"Record low turnout in 2025 offâyear elections, AP analysis says",Associated Press,https://apnews.com/article/2025-09-05-turnout-analysis,apnews.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-09-12 12:00:00+00,DeSantis signs new Florida congressional map adding GOPâleaning districts,Florida Politics,https://floridapolitics.com/2025/09/12/deSantis-florida-map,floridapolitics.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-09-23 12:00:00+00,Trumpâbacked Kenâ¯Paxton defeats Sen. Johnâ¯Cornyn in Texas GOP runoff,CNN Politics,https://www.cnn.com/2025/09/23/politics/texas-primary-paxton-cornyn,cnn.com,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-10-30 12:00:00+00,Pew Research Finds Dim Views of Both Parties Ahead of Midterms,Pew Research Center,https://www.pewresearch.org/politics/2025/10/30/a-year-ahead-of-the-midterms-americans-dim-views-of-both-parties/,pewresearch.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-11-03 12:00:00+00,Texas and North Carolina hold first 2026 midterm primaries,PBS News,https://www.pbs.org/newshour/politics/takeaways-from-the-first-elections-of-2026-midterms,pbs.org,dead link,"ERR:[Errno 8] nodename nor servname provided, or not known"
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-11-06 12:00:00+00,RNC Chair Joe Gruters Bets on Trump to Defy Midterm History and Protect GOP Majorities,GAGE.NEWS,https://gage.news/art/rnc-chair-bets-secret-weapon-defy-midterm-history-protect-gop-majorities/,gage.news,dead link,404
balance-of-power-2026-midterms,Balance of Power: 2026 Midterms,2025-11-10 12:00:00+00,Marist poll gives Republicans +2 on generic Senate race,Marist Poll,https://maristpoll.marist.edu/2025-11-10-senate-poll,maristpoll.marist.edu,dead link,404
